"id";"app_label";"model"
1;"admin";"logentry"
3;"auth";"group"
2;"auth";"permission"
4;"auth";"user"
5;"contenttypes";"contenttype"
6;"sessions";"session"
7;"soilregen2App";"amendment"
8;"soilregen2App";"amendmentcategory"
9;"soilregen2App";"amendmentelement"
10;"soilregen2App";"amendmenttype"
11;"soilregen2App";"analysis"
12;"soilregen2App";"analysisitem"
13;"soilregen2App";"country"
14;"soilregen2App";"element"
15;"soilregen2App";"farm"
16;"soilregen2App";"field"
17;"soilregen2App";"reportitem"
18;"soilregen2App";"soilreport"
19;"soilregen2App";"source"
20;"soilregen2App";"sourceamendment"
21;"soilregen2App";"userprofile"
